Date,Price
01-11-2017,54.29999924
02-11-2017,54.54000092
03-11-2017,55.63999939
06-11-2017,57.34999847
07-11-2017,57.20000076
08-11-2017,56.81000137
09-11-2017,57.16999817
10-11-2017,56.74000168
13-11-2017,56.75999832
14-11-2017,55.70000076
15-11-2017,55.33000183
16-11-2017,55.13999939
17-11-2017,56.54999924
20-11-2017,56.09000015
21-11-2017,56.83000183
22-11-2017,58.02000046
24-11-2017,58.95000076
27-11-2017,58.11000061
28-11-2017,57.99000168
29-11-2017,57.29999924
30-11-2017,57.40000153
01-12-2017,58.36000061
04-12-2017,57.47000122
05-12-2017,57.61999893
06-12-2017,55.95999908
07-12-2017,56.68999863
08-12-2017,57.36000061
11-12-2017,57.99000168
12-12-2017,57.13999939
13-12-2017,56.59999847
14-12-2017,57.04000092
15-12-2017,57.29999924
18-12-2017,57.15999985
19-12-2017,57.45999908
20-12-2017,58.09000015
21-12-2017,58.36000061
22-12-2017,58.47000122
26-12-2017,59.97000122
27-12-2017,59.63999939
28-12-2017,59.84000015
29-12-2017,60.41999817
01-01-2018,60.39499855
02-01-2018,60.36999893
03-01-2018,61.63000107
04-01-2018,62.00999832
05-01-2018,61.43999863
08-01-2018,61.72999954
09-01-2018,62.95999908
10-01-2018,63.56999969
11-01-2018,63.79999924
12-01-2018,64.30000305
15-01-2018,64.0150013
16-01-2018,63.72999954
17-01-2018,63.97000122
18-01-2018,63.95000076
19-01-2018,63.36999893
22-01-2018,63.49000168
23-01-2018,64.47000122
24-01-2018,65.61000061
25-01-2018,65.51000214
26-01-2018,66.13999939
29-01-2018,65.55999756
30-01-2018,64.5
31-01-2018,64.73000336
01-02-2018,65.80000305
02-02-2018,65.44999695
05-02-2018,64.15000153
06-02-2018,63.38999939
07-02-2018,61.79000092
08-02-2018,61.15000153
09-02-2018,59.20000076
12-02-2018,59.29000092
13-02-2018,59.18999863
14-02-2018,60.59999847
15-02-2018,61.34000015
16-02-2018,61.68000031
19-02-2018,61.79000092
20-02-2018,61.90000153
21-02-2018,61.68000031
22-02-2018,62.77000046
23-02-2018,63.54999924
26-02-2018,63.90999985
27-02-2018,63.00999832
28-02-2018,61.63999939
01-03-2018,60.99000168
02-03-2018,61.25
05-03-2018,62.56999969
06-03-2018,62.59999847
07-03-2018,61.15000153
08-03-2018,60.11999893
09-03-2018,62.04000092
12-03-2018,61.36000061
13-03-2018,60.70999908
14-03-2018,60.95999908
15-03-2018,61.18999863
16-03-2018,62.34000015
19-03-2018,62.06000137
20-03-2018,63.40000153
21-03-2018,65.16999817
22-03-2018,64.30000305
23-03-2018,65.87999725
26-03-2018,65.55000305
27-03-2018,65.25
28-03-2018,64.37999725
29-03-2018,64.94000244
30-03-2018,63.97500038
02-04-2018,63.00999832
03-04-2018,63.50999832
04-04-2018,63.36999893
05-04-2018,63.54000092
06-04-2018,62.06000137
09-04-2018,63.41999817
10-04-2018,65.51000214
11-04-2018,66.81999969
12-04-2018,67.06999969
13-04-2018,67.38999939
16-04-2018,66.22000122
17-04-2018,66.51999664
18-04-2018,68.47000122
19-04-2018,68.29000092
20-04-2018,68.37999725
23-04-2018,68.63999939
24-04-2018,67.69999695
25-04-2018,68.05000305
26-04-2018,68.19000244
27-04-2018,68.09999847
30-04-2018,68.56999969
01-05-2018,67.25
02-05-2018,67.93000031
03-05-2018,68.43000031
04-05-2018,69.72000122
07-05-2018,70.73000336
08-05-2018,69.05999756
09-05-2018,71.13999939
10-05-2018,71.36000061
11-05-2018,70.69999695
14-05-2018,70.95999908
15-05-2018,71.30999756
16-05-2018,71.48999786
17-05-2018,71.48999786
18-05-2018,71.27999878
21-05-2018,72.23999786
22-05-2018,72.12999725
23-05-2018,71.83999634
24-05-2018,70.70999908
25-05-2018,67.87999725
28-05-2018,67.30500031
29-05-2018,66.73000336
30-05-2018,68.20999908
31-05-2018,67.04000092
01-06-2018,65.80999756
04-06-2018,64.75
05-06-2018,65.51999664
06-06-2018,64.73000336
07-06-2018,65.94999695
08-06-2018,65.73999786
11-06-2018,66.09999847
12-06-2018,66.36000061
13-06-2018,66.63999939
14-06-2018,66.88999939
15-06-2018,65.05999756
18-06-2018,65.84999847
19-06-2018,65.06999969
20-06-2018,66.22000122
21-06-2018,65.54000092
22-06-2018,68.58000183
25-06-2018,68.08000183
26-06-2018,70.52999878
27-06-2018,72.76000214
28-06-2018,73.44999695
29-06-2018,74.15000153
02-07-2018,73.94000244
03-07-2018,74.13999939
04-07-2018,73.54000092
05-07-2018,72.94000244
06-07-2018,73.80000305
09-07-2018,73.84999847
10-07-2018,74.11000061
11-07-2018,70.37999725
12-07-2018,70.33000183
13-07-2018,71.01000214
16-07-2018,68.05999756
17-07-2018,68.08000183
18-07-2018,68.76000214
19-07-2018,69.45999908
20-07-2018,70.45999908
23-07-2018,67.88999939
24-07-2018,68.51999664
25-07-2018,69.30000305
26-07-2018,69.61000061
27-07-2018,68.69000244
30-07-2018,70.12999725
31-07-2018,68.76000214
01-08-2018,67.66000366
02-08-2018,68.95999908
03-08-2018,68.48999786
06-08-2018,69.01000214
07-08-2018,69.16999817
08-08-2018,66.94000244
09-08-2018,66.80999756
10-08-2018,67.62999725
13-08-2018,67.19999695
14-08-2018,67.04000092
15-08-2018,65.01000214
16-08-2018,65.45999908
17-08-2018,65.91000366
20-08-2018,66.43000031
21-08-2018,67.34999847
22-08-2018,67.86000061
23-08-2018,67.83000183
24-08-2018,68.72000122
27-08-2018,68.87000275
28-08-2018,68.52999878
29-08-2018,69.51000214
30-08-2018,70.25
31-08-2018,69.80000305
03-09-2018,69.8350029
04-09-2018,69.87000275
05-09-2018,68.72000122
06-09-2018,67.76999664
07-09-2018,67.75
10-09-2018,67.54000092
11-09-2018,69.25
12-09-2018,70.37000275
13-09-2018,68.58999634
14-09-2018,68.98999786
17-09-2018,68.91000366
18-09-2018,69.84999847
19-09-2018,71.12000275
20-09-2018,70.80000305
21-09-2018,70.77999878
24-09-2018,72.08000183
25-09-2018,72.27999878
26-09-2018,71.56999969
